Crop growing season recorded in the paper,Crop sequence (details)_1,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,E,Fertilization CT _No,Fertilization CT _Yes,Fertilization NT_No,Fertilization NT_Yes,Harvest year,Harvesting month,Initial year of NT practice ( or first year of experiment if missing),Irrigation CT_No,Irrigation CT_Yes,Irrigation NT_No,Irrigation NT_Yes,Journal,Latitude,Longitude,N input rates with the unit kg N ha-1 (details),N input_No,N input_Yes,PB,Relative yield change,Residue management of previous crop in NT (details),ST_Clay loam,ST_Silt loam,Soil cover in NT_No,Soil cover in NT_Yes,Soil information recorded in the paper,Sowing month,Sowing year,Tmax,Tmin,Water applied in CT,Water applied in NT,Year,Years since NT started (yrs),Yield increase with NT_Yes,Yield of CT,Yield of NT
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,534.828,0.0,1.0,0.0,1.0,1992,8,1990,0.0,1.0,0.0,1.0,100,48.28,-105.1,0,0.0,1.0,-139.028,0.0495,109,0.0,0.0,0.0,1.0,110,9,1992,24.7986,-20.09568,0,0,14,3,1.0,2567.0,2694.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,590.273,0.0,1.0,0.0,1.0,1993,8,1990,0.0,1.0,0.0,1.0,100,48.28,-105.1,0,0.0,1.0,-329.973,0.0141,109,0.0,0.0,0.0,1.0,110,9,1993,29.19186,-21.60286,0,0,14,4,1.0,2405.0,2439.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,555.26,0.0,1.0,0.0,1.0,1994,8,1990,0.0,1.0,0.0,1.0,100,48.28,-105.1,0,0.0,1.0,-157.96,0.1431,109,0.0,0.0,0.0,1.0,110,9,1994,29.48728,-16.19572,0,0,14,5,1.0,2439.0,2788.0
56,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,546.6868881,0.0,1.0,0.0,1.0,2016,10,2014,0.0,1.0,0.0,1.0,99,32.42,-93.64,196,0.0,1.0,-34.787,-0.0206,59,0.0,0.0,0.0,1.0,110,6,2016,35.3316296,14.98488395,0,0,35,3,0.0,3005.0,2943.0
80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,511.4026107,0.0,1.0,0.0,1.0,2017,10,2014,0.0,1.0,0.0,1.0,99,32.42,-93.64,120,0.0,1.0,-36.303,-0.128,59,0.0,0.0,0.0,1.0,110,6,2017,34.27268933,13.00351149,0,0,35,4,0.0,3062.0,2670.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,697.924,0.0,1.0,0.0,1.0,2009,5,2009,0.0,1.0,0.0,1.0,9,9.07,38.48,0,0.0,1.0,-282.524,-0.7273,85,1.0,0.0,1.0,0.0,91,11,2009,24.3614,7.81478,0,0,35,1,0.0,2750.0,750.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,697.924,0.0,1.0,0.0,1.0,2009,5,2009,0.0,1.0,0.0,1.0,9,9.07,38.48,0,0.0,1.0,-282.524,-0.7394,0,1.0,0.0,0.0,1.0,91,11,2009,24.3614,7.81478,0,0,35,1,0.0,3300.0,860.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,697.924,0.0,1.0,0.0,1.0,2009,5,2009,0.0,1.0,0.0,1.0,9,9.07,38.48,0,0.0,1.0,-282.524,-0.6905,5,1.0,0.0,0.0,1.0,91,11,2009,24.3614,7.81478,0,0,35,1,0.0,3490.0,1080.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.02,0.0,1.0,0.0,1.0,2010,5,2009,0.0,1.0,0.0,1.0,9,9.07,38.48,0,0.0,1.0,-237.02,-0.0698,85,1.0,0.0,1.0,0.0,91,11,2010,26.41964,7.69113,0,0,35,2,0.0,1290.0,1200.0
73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,702.02,0.0,1.0,0.0,1.0,2010,5,2009,0.0,1.0,0.0,1.0,9,9.07,38.48,0,0.0,1.0,-237.02,-0.1343,0,1.0,0.0,0.0,1.0,91,11,2010,26.41964,7.69113,0,0,35,2,0.0,1340.0,1160.0
