Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Relative yield change,Sowing month,Harvesting month,E,PB,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Clay loam,ST_Silt loam,Water applied in CT,Fertilization CT _No,Fertilization CT _Yes,Irrigation CT_No,Irrigation CT_Yes,Yield of CT
48.28,-105.1,110,1992,73,0,0.0495,9,8,534.828,-139.028,24.7986,-20.09568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2567.0
48.28,-105.1,110,1993,73,0,0.0141,9,8,590.273,-329.973,29.19186,-21.60286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2405.0
48.28,-105.1,110,1994,73,0,0.1431,9,8,555.26,-157.96,29.48728,-16.19572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2439.0
32.42,-93.64,110,2016,56,196,-0.0206,6,10,546.6868881,-34.787,35.3316296,14.98488395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3005.0
32.42,-93.64,110,2017,80,120,-0.128,6,10,511.4026107,-36.303,34.27268933,13.00351149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3062.0
9.07,38.48,91,2009,73,0,-0.7273,11,5,697.924,-282.524,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,2750.0
9.07,38.48,91,2009,73,0,-0.7394,11,5,697.924,-282.524,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,3300.0
9.07,38.48,91,2009,73,0,-0.6905,11,5,697.924,-282.524,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,3490.0
9.07,38.48,91,2010,73,0,-0.0698,11,5,702.02,-237.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1290.0
9.07,38.48,91,2010,73,0,-0.1343,11,5,702.02,-237.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1340.0
9.07,38.48,91,2010,73,0,-0.0146,11,5,702.02,-237.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1370.0
9.07,38.48,91,2011,73,0,0.0449,11,5,716.554,-433.254,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,890.0
9.07,38.48,91,2011,73,0,0.0549,11,5,716.554,-433.254,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,910.0
9.07,38.48,91,2011,73,0,0.0909,11,5,716.554,-433.254,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,1100.0
28.6,112.6,92,2017,3,0,-0.0659,3,6,285.776,677.324,26.04461,7.75104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0,7225.0
