Latitude,Longitude,Soil information recorded in the paper,Sowing year,Crop growing season recorded in the paper,N input rates with the unit kg N ha-1 (details),Sowing month,Harvesting month,E,Tmax,Tmin,Crop_barley.winter,Crop_cotton,Crop_maize,Crop_rice,Crop_sorghum,Crop_soybean,Crop_sunflower,Crop_wheat.spring,Crop_wheat.winter,Crop sequence (details)_1,N input_No,N input_Yes,ST_Silt loam,Initial year of NT practice ( or first year of experiment if missing),Years since NT started (yrs),Residue management of previous crop in NT (details),Water applied in NT,Fertilization NT_No,Fertilization NT_Yes,Irrigation NT_No,Irrigation NT_Yes,Yield of NT
48.28,-105.1,110,1992,73,0,9,8,534.828,24.7986,-20.09568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1990,3,109,0,0.0,1.0,0.0,1.0,2694.0
48.28,-105.1,110,1993,73,0,9,8,590.273,29.19186,-21.60286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1990,4,109,0,0.0,1.0,0.0,1.0,2439.0
48.28,-105.1,110,1994,73,0,9,8,555.26,29.48728,-16.19572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1990,5,109,0,0.0,1.0,0.0,1.0,2788.0
32.42,-93.64,110,2016,56,196,6,10,546.6868881,35.3316296,14.98488395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014,3,59,0,0.0,1.0,0.0,1.0,2943.0
32.42,-93.64,110,2017,80,120,6,10,511.4026107,34.27268933,13.00351149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2014,4,59,0,0.0,1.0,0.0,1.0,2670.0
9.07,38.48,91,2009,73,0,11,5,697.924,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,1,85,0,0.0,1.0,0.0,1.0,750.0
9.07,38.48,91,2009,73,0,11,5,697.924,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,1,0,0,0.0,1.0,0.0,1.0,860.0
9.07,38.48,91,2009,73,0,11,5,697.924,24.3614,7.81478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,1,5,0,0.0,1.0,0.0,1.0,1080.0
9.07,38.48,91,2010,73,0,11,5,702.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,2,85,0,0.0,1.0,0.0,1.0,1200.0
9.07,38.48,91,2010,73,0,11,5,702.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,2,0,0,0.0,1.0,0.0,1.0,1160.0
9.07,38.48,91,2010,73,0,11,5,702.02,26.41964,7.69113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,2,5,0,0.0,1.0,0.0,1.0,1350.0
9.07,38.48,91,2011,73,0,11,5,716.554,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,3,85,0,0.0,1.0,0.0,1.0,930.0
9.07,38.48,91,2011,73,0,11,5,716.554,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,3,0,0,0.0,1.0,0.0,1.0,960.0
9.07,38.48,91,2011,73,0,11,5,716.554,25.72281,8.06241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2009,3,5,0,0.0,1.0,0.0,1.0,1200.0
28.6,112.6,92,2017,3,0,3,6,285.776,26.04461,7.75104,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1986,32,149,0,0.0,1.0,0.0,1.0,6749.0
47.46,-99.12,86,1991,73,0,5,10,476.438,29.3754,-2.51616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990,2,109,0,1.0,0.0,0.0,1.0,2620.0
47.46,-99.12,86,1991,73,0,5,10,476.438,29.3754,-2.51616,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1990,2,109,0,1.0,0.0,0.0,1.0,2570.0
